"ID"	"Hashtag"	"IsLoc"	"FuzzyWuzzy"	"EditDist"	"Location"	"Lat"	"Long"	"ED0"	"ED1"	"ED2"
2318256	"onderwijs"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2036237	"wietblad"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1422107	"droombergen"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2103922	"reflex gaming nl"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1165114	"wheelchaire"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2342685	"gezondheid"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1741637	"at sport"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
50047	"jouster merke"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2532188	"groningen"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
804102	"newrules"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1773743	"innovatiedag"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
999591	"stevenrooks"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1204937	"verpakkingen"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
